,League,Season,Team,Sequence,seq_len
10,Bundesliga,2000,Kaiserslautern,"[0, 0, 3, 1, 3, 0, 1, 3, 3, 3, 3, 0, 0, 0, 3, 1, 3, 3, 1, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 0, 0, 1, 0, 0, 3]",35
11,Bundesliga,2000,Leverkusen,"[3, 0, 3, 1, 0, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 3, 0, 0, 3, 3, 3, 0, 0, 0, 3, 3, 0, 3, 0, 1, 3, 0, 1, 3, 3]",35
13,Bundesliga,2000,Munich 1860,"[1, 3, 3, 1, 0, 3, 1, 0, 0, 0, 1, 1, 1, 0, 0, 3, 3, 3, 0, 3, 0, 1, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 1, 0, 0]",35
15,Bundesliga,2000,Schalke 04,"[3, 3, 3, 1, 1, 3, 0, 3, 0, 1, 0, 3, 3, 3, 0, 3, 3, 1, 3, 0, 3, 0, 1, 0, 1, 1, 3, 3, 3, 3, 1, 3, 0, 3]",34
17,Bundesliga,2000,Stuttgart,"[0, 3, 0, 3, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 0, 0, 3, 1, 0, 3, 0, 0, 1, 3, 1, 1, 0, 1, 3, 0, 3, 1, 3, 0, 1]",35
18,Bundesliga,2000,Unterhaching,"[0, 1, 0, 1, 0, 3, 0, 0, 1, 3, 1, 1, 3, 3, 0, 0, 3, 1, 0, 0, 0, 3, 3, 0, 0, 1, 1, 1, 1, 0, 3, 1, 0, 0]",34
19,Bundesliga,2000,Werder Bremen,"[3, 0, 0, 0, 1, 1, 3, 1, 0, 1, 0, 3, 1, 3, 3, 0, 0, 1, 3, 3, 1, 3, 3, 3, 0, 0, 3, 3, 3, 0, 0, 1, 3, 3, 0]",35
20,Bundesliga,2000,Wolfsburg,"[0, 3, 0, 3, 0, 1, 1, 3, 3, 1, 1, 1, 1, 0, 3, 3, 0, 3, 1, 0, 3, 1, 0, 0, 3, 1, 3, 1, 0, 3, 1, 0, 3, 0, 0]",35
21,Bundesliga,2001,Bayern Munich,"[3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 3, 3, 3, 3, 1, 3, 1, 1, 3, 3, 3, 3]",33
22,Bundesliga,2001,Cottbus,"[0, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0, 0]",33
23,Bundesliga,2001,Dortmund,"[3, 3, 3, 0, 0, 1, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 0, 1, 3, 3, 3, 0, 3, 0, 3, 3, 3]",33
24,Bundesliga,2001,FC Koln,"[3, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 3, 0, 3, 3]",33
25,Bundesliga,2001,Freiburg,"[0, 0, 1, 1, 0, 3, 0, 1, 3, 1, 3, 0, 0, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3]",33
26,Bundesliga,2001,Hamburg,"[3, 1, 0, 0, 1, 0, 1, 3, 3, 0, 0, 1, 0, 3, 0, 1, 3, 0, 3, 1, 3, 0, 3, 3, 0, 1, 1, 1, 0, 1, 3, 0, 0]",33
27,Bundesliga,2001,Hansa Rostock,"[0, 3, 0, 0, 1, 1, 0, 1, 0, 3, 3, 0, 0, 1, 0, 3, 3, 0, 0, 3, 0, 3, 0, 1, 0, 3, 0, 1, 0, 3, 0, 0, 1, 0]",34
28,Bundesliga,2001,Hertha,"[0, 3, 0, 1, 3, 0, 3, 0, 3, 3, 3, 3, 1, 3, 1, 3, 1, 0, 1, 0, 3, 3, 3, 1, 3, 3, 3, 0, 3, 3, 0, 3, 0]",33
29,Bundesliga,2001,Kaiserslautern,"[3, 3, 3, 3, 3, 3, 0, 3, 0, 1, 0, 3, 0, 3, 3, 1, 0, 3, 3, 1, 0, 3, 0, 3, 0, 1, 0, 0, 1, 3, 0, 3, 0]",33
30,Bundesliga,2001,Leverkusen,"[3, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 0, 3, 0, 0, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1, 0, 0, 3]",33
31,Bundesliga,2001,MGladbach,"[0, 1, 3, 0, 1, 1, 0, 0, 3, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 3, 0, 3, 1, 3, 0, 3, 3, 3, 1, 0, 1, 1, 0]",33
32,Bundesliga,2001,Munich 1860,"[0, 1, 3, 3, 0, 3, 1, 0, 0, 0, 3, 0, 3, 3, 3, 1, 3, 3, 0, 3, 0, 0, 3, 3, 0, 0, 0, 3, 0, 3, 1, 1, 3]",33
33,Bundesliga,2001,Nurnberg,"[3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 0, 3, 3, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3]",33
34,Bundesliga,2001,Schalke 04,"[0, 1, 1, 3, 3, 3, 0, 3, 0, 3, 1, 3, 1, 0, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 1, 3, 0, 3, 0, 0]",34
35,Bundesliga,2001,St Pauli,"[1, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 3, 0, 1, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0]",33
36,Bundesliga,2001,Stuttgart,"[0, 1, 3, 1, 3, 3, 0, 3, 0, 3, 0, 3, 1, 1, 0, 1, 1, 3, 3, 0, 0, 3, 1, 0, 0, 0, 3, 3, 3, 1, 1, 1, 3]",33
37,Bundesliga,2001,Werder Bremen,"[3, 1, 0, 0, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 3, 0, 0, 0, 3, 1, 0, 0, 3, 0, 0, 3, 1, 3, 3, 3, 0]",33
38,Bundesliga,2001,Wolfsburg,"[1, 0, 1, 1, 0, 0, 3, 3, 0, 0, 3, 0, 3, 3, 1, 3, 3, 0, 1, 1, 3, 0, 0, 0, 3, 1, 3, 0, 0, 3, 3, 0, 3]",33
39,Bundesliga,2002,Bayern Munich,"[1, 3, 3, 3, 3, 3, 0, 3, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 1, 0, 0, 3, 3, 3, 3, 0]",31
40,Bundesliga,2002,Bielefeld,"[3, 0, 3, 1, 0, 0, 3, 0, 1, 3, 0, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 1, 3, 1, 0, 3, 1, 1, 0, 0, 0, 0]",32
41,Bundesliga,2002,Bochum,"[3, 3, 3, 1, 0, 1, 0, 0, 3, 3, 0, 3, 0, 1, 0, 1, 1, 3, 0, 3, 1, 0, 0, 0, 0, 1, 0, 3, 3, 1, 3, 1, 3]",33
42,Bundesliga,2002,Cottbus,"[1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 3, 3, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 3, 1]",33
43,Bundesliga,2002,Dortmund,"[1, 1, 3, 1, 1, 3, 3, 3, 1, 3, 1, 0, 3, 0, 3, 3, 3, 0, 3, 1, 3, 0, 3, 1, 0, 1, 3, 1, 1, 3, 1, 1]",32
44,Bundesliga,2002,Hamburg,"[3, 0, 0, 0, 3, 0, 3, 0, 3, 0, 1, 3, 3, 1, 3, 1, 1, 1, 3, 0, 3, 1, 3, 0, 3, 1, 1, 3, 1, 3, 1, 3]",32
45,Bundesliga,2002,Hannover,"[0, 0, 0, 0, 3, 1, 3, 0, 1, 1, 3, 3, 0, 0, 0, 0, 1, 1, 3, 3, 3, 3, 0, 3, 1, 0, 3, 0, 0, 3, 1, 3]",32
46,Bundesliga,2002,Hansa Rostock,"[3, 3, 3, 0, 3, 0, 0, 1, 0, 0, 1, 0, 1, 1, 3, 0, 1, 0, 3, 1, 1, 0, 0, 3, 0, 3, 0, 0, 1, 3, 0, 3, 0]",33
47,Bundesliga,2002,Hertha,"[1, 1, 1, 0, 3, 3, 0, 3, 3, 1, 0, 3, 3, 0, 0, 1, 0, 3, 0, 3, 1, 0, 3, 3, 3, 0, 3, 3, 3, 0, 0, 0, 3]",33
48,Bundesliga,2002,Kaiserslautern,"[1, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 0, 3, 0, 1, 3, 3, 1, 3, 3, 3, 1, 3, 0, 3, 0, 1, 1, 0]",33
49,Bundesliga,2002,Leverkusen,"[1, 1, 0, 3, 0, 0, 3, 0, 3, 1, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 3, 0, 1, 0, 3, 0, 0, 1, 3, 0, 3, 3]",32
50,Bundesliga,2002,MGladbach,"[1, 0, 3, 3, 1, 0, 0, 3, 0, 0, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 1, 3, 0, 3, 0, 3, 1, 1, 1, 3, 1, 3]",32
51,Bundesliga,2002,Munich 1860,"[0, 3, 3, 0, 1, 1, 3, 0, 3, 3, 3, 0, 0, 1, 3, 0, 1, 3, 0, 1, 1, 0, 0, 1, 3, 0, 1, 1, 3, 3, 0, 0]",32
52,Bundesliga,2002,Nurnberg,"[0, 0, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 0, 1, 0, 1, 3, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0]",32
53,Bundesliga,2002,Schalke 04,"[3, 3, 1, 1, 1, 3, 0, 3, 0, 1, 3, 0, 3, 1, 3, 1, 1, 3, 1, 0, 1, 1, 1, 0, 1, 1, 3, 3, 0, 0, 0, 0, 3]",33
54,Bundesliga,2002,Stuttgart,"[1, 1, 0, 1, 1, 3, 0, 3, 3, 1, 3, 3, 1, 3, 0, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 0, 1, 3, 0, 0, 3]",32
55,Bundesliga,2002,Werder Bremen,"[0, 3, 0, 3, 3, 3, 3, 1, 1, 0, 3, 0, 3, 3, 3, 1, 3, 1, 0, 0, 0, 3, 0, 0, 3, 3, 0, 0, 3, 3, 3, 0]",32
56,Bundesliga,2002,Wolfsburg,"[0, 3, 0, 3, 1, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 0, 0, 1, 1, 3, 1, 3, 0, 3, 3, 0, 1, 1, 3, 0]",31
57,Bundesliga,2003,Bayern Munich,"[3, 1, 3, 3, 1, 3, 0, 1, 3, 3, 1, 3, 0, 3, 1, 1, 3, 3, 3, 0, 3]",21
58,Bundesliga,2003,Bochum,"[0, 1, 1, 3, 3, 3, 0, 0, 3, 1, 3, 1, 3, 1, 3, 1, 0, 0, 3, 3, 1]",21
59,Bundesliga,2003,Dortmund,"[1, 3, 0, 3, 3, 3, 0, 0, 1, 0, 3, 0, 0, 1, 3, 1, 3, 3, 3, 0, 3]",21
60,Bundesliga,2003,Ein Frankfurt,"[0, 0, 1, 0, 0, 3, 1, 0, 0, 1, 3, 1, 3, 0, 3, 0, 0, 0, 0, 0, 3]",21
61,Bundesliga,2003,FC Koln,"[0, 0, 0, 0, 1, 3, 0, 0, 1, 1, 3, 3, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0]",23
62,Bundesliga,2003,Freiburg,"[0, 1, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 0, 1, 1, 3, 1, 0, 0, 0]",23
63,Bundesliga,2003,Hamburg,"[0, 1, 3, 1, 3, 0, 1, 1, 3, 3, 0, 1, 3, 0, 3, 0, 3, 0, 0, 3, 3]",21
64,Bundesliga,2003,Hannover,"[3, 1, 3, 0, 0, 0, 1, 3, 1, 0, 1, 3, 0, 0, 0, 0, 1, 1, 3, 3, 1, 0]",22
65,Bundesliga,2003,Hansa Rostock,"[0, 1, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 3, 1, 3, 1, 0, 3, 1, 0, 0, 3, 0]",23
66,Bundesliga,2003,Hertha,"[0, 1, 0, 0, 3, 1, 0, 0, 3, 3, 3, 1, 0, 1, 0, 1, 3, 1, 3]",19
67,Bundesliga,2003,Kaiserslautern,"[0, 3, 3, 3, 0, 3, 0, 0, 0, 1, 0, 3, 0, 3, 3, 1, 0, 0, 0, 3, 0]",21
68,Bundesliga,2003,Leverkusen,"[3, 3, 3, 3, 3, 1, 0, 3, 0, 0, 0, 0, 3, 3, 3, 1, 3, 3, 3, 3]",20
69,Bundesliga,2003,MGladbach,"[3, 0, 1, 0, 1, 0, 1, 0, 3, 3, 0, 0, 0, 3, 0, 3, 0, 1, 3, 1, 0, 3]",22
70,Bundesliga,2003,Munich 1860,"[3, 1, 0, 0, 0, 3, 1, 3, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 0, 0, 0, 0, 0]",23
71,Bundesliga,2003,Schalke 04,"[1, 1, 0, 1, 3, 0, 1, 3, 3, 3, 1, 3, 1, 3, 1, 3, 0, 1, 3, 3, 0, 0, 0, 1]",24
72,Bundesliga,2003,Stuttgart,"[3, 3, 3, 1, 3, 3, 3, 1, 0, 0, 3, 0, 1, 3, 3, 1, 1, 3, 3, 3, 3, 0]",22
73,Bundesliga,2003,Werder Bremen,"[3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1]",20
74,Bundesliga,2003,Wolfsburg,"[3, 0, 3, 0, 0, 3, 0, 3, 3, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 1]",21
75,Bundesliga,2004,Bayern Munich,"[3, 1, 0, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 1, 1, 3, 1, 3, 0, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3]",34
76,Bundesliga,2004,Bielefeld,"[1, 0, 0, 1, 3, 3, 0, 3, 3, 0, 0, 3, 3, 3, 0, 1, 0, 0, 0, 1, 3, 1, 3, 0, 0, 0, 3, 0, 1, 3, 0, 0, 1, 0]",34
77,Bundesliga,2004,Bochum,"[1, 1, 3, 1, 1, 0, 0, 0, 0, 3, 0, 1, 0, 0, 3, 0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 3, 1, 3, 3, 0, 0, 0, 3, 3]",34
78,Bundesliga,2004,Dortmund,"[0, 3, 1, 1, 1, 1, 1, 0, 0, 3, 3, 0, 0, 3, 0, 0, 1, 3, 1, 3, 3, 0, 3, 1, 0, 3, 3, 3, 1, 3, 1, 3, 3, 3]",34
79,Bundesliga,2004,Freiburg,"[1, 3, 1, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",34
80,Bundesliga,2004,Hamburg,"[0, 0, 3, 0, 0, 3, 0, 0, 3, 3, 1, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 0, 3, 3, 0, 1, 0, 3, 3, 0, 1, 0, 0]",34
81,Bundesliga,2004,Hannover,"[0, 1, 1, 0, 3, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 3, 0, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 3, 1]",34
82,Bundesliga,2004,Hansa Rostock,"[1, 0, 3, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 0]",34
83,Bundesliga,2004,Hertha,"[1, 1, 1, 1, 1, 0, 3, 3, 0, 0, 3, 1, 3, 1, 3, 3, 3, 1, 1, 3, 3, 0, 3, 1, 1, 3, 0, 3, 3, 3, 0, 3, 1, 1]",34
84,Bundesliga,2004,Kaiserslautern,"[0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 3, 1, 3, 0, 3, 3, 1, 3, 3, 1, 3, 0, 1, 1, 3, 0, 0, 3, 0, 0, 0, 3, 0, 0]",34
85,Bundesliga,2004,Leverkusen,"[3, 1, 3, 0, 1, 0, 3, 0, 1, 3, 0, 3, 1, 0, 3, 3, 1, 3, 3, 0, 3, 3, 1, 0, 1, 3, 0, 0, 3, 3, 1, 3, 1, 3]",34
86,Bundesliga,2004,MGladbach,"[1, 0, 1, 3, 0, 1, 0, 3, 0, 0, 3, 1, 3, 0, 0, 0, 1, 3, 1, 3, 0, 0, 1, 3, 0, 0, 1, 0, 1, 1, 3, 1, 1, 0]",34
87,Bundesliga,2004,Mainz,"[0, 3, 1, 3, 1, 1, 3, 3, 0, 3, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 3, 0, 3, 3]",34
88,Bundesliga,2004,Nurnberg,"[3, 1, 0, 1, 1, 0, 1, 3, 0, 0, 3, 3, 0, 1, 0, 1, 3, 0, 3, 0, 0, 0, 0, 1, 3, 0, 0, 3, 3, 1, 0, 3, 0, 0]",34
89,Bundesliga,2004,Schalke 04,"[0, 3, 0, 0, 3, 0, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 1, 3, 0, 1, 3, 3, 3, 3, 3, 0, 3, 0, 0, 0, 1, 3, 0, 3]",34
90,Bundesliga,2004,Stuttgart,"[3, 1, 3, 3, 1, 3, 3, 3, 0, 0, 0, 3, 0, 3, 1, 3, 1, 3, 0, 1, 0, 3, 1, 3, 3, 3, 3, 3, 0, 1, 0, 3, 0, 0]",34
91,Bundesliga,2004,Werder Bremen,"[3, 3, 0, 0, 3, 3, 0, 0, 3, 3, 1, 1, 1, 0, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 1, 3, 0, 3, 0, 0, 3, 0, 3, 3]",34
92,Bundesliga,2004,Wolfsburg,"[3, 0, 3, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 3, 1, 0, 3, 0, 0, 3, 0, 1, 3, 0, 1, 3]",34
93,Bundesliga,2005,Bayern Munich,"[3, 3, 3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 1, 3, 0, 1, 3, 3, 1, 0, 3, 1, 3, 1, 1]",34
94,Bundesliga,2005,Bielefeld,"[0, 0, 3, 1, 1, 0, 0, 1, 3, 3, 3, 0, 0, 1, 0, 1, 3, 0, 0, 1, 3, 0, 3, 0, 3, 0, 1, 3, 3, 0, 0, 0, 0, 0]",34
95,Bundesliga,2005,Dortmund,"[1, 0, 1, 3, 0, 3, 1, 1, 1, 1, 3, 0, 3, 3, 0, 0, 0, 3, 1, 3, 1, 0, 0, 1, 1, 3, 3, 0, 0, 1, 3, 3, 1, 1]",34
96,Bundesliga,2005,Duisburg,"[1, 0, 1, 0, 0, 0, 3, 1, 0, 0, 3, 0, 0, 0, 1, 1, 1, 3, 1, 0, 1, 0, 3, 0, 1, 0, 0, 1, 1, 0, 0, 0, 3, 1]",34
97,Bundesliga,2005,Ein Frankfurt,"[0, 0, 3, 0, 1, 0, 0, 0, 3, 3, 0, 3, 1, 1, 3, 3, 0, 0, 1, 3, 0, 0, 0, 1, 0, 3, 1, 0, 0, 1, 3, 1, 1, 0]",34
98,Bundesliga,2005,FC Koln,"[3, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 3, 0, 0, 1, 1, 3, 1, 3, 0, 0, 3]",34
99,Bundesliga,2005,Hamburg,"[3, 3, 1, 3, 1, 3, 3, 3, 0, 1, 3, 1, 3, 3, 3, 3, 1, 0, 3, 0, 3, 3, 0, 3, 3, 3, 0, 3, 3, 3, 0, 3, 0, 0]",34
100,Bundesliga,2005,Hannover,"[1, 1, 1, 3, 0, 0, 0, 1, 3, 1, 0, 1, 1, 3, 3, 1, 1, 1, 1, 3, 3, 1, 0, 0, 1, 3, 0, 0, 1, 1, 0, 0, 1, 1]",34
101,Bundesliga,2005,Hertha,"[1, 3, 0, 3, 1, 3, 3, 0, 0, 3, 1, 3, 0, 1, 3, 0, 1, 1, 1, 1, 1, 0, 0, 0, 3, 3, 1, 3, 3, 1, 1, 0, 3, 0]",34
102,Bundesliga,2005,Kaiserslautern,"[0, 3, 3, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 1, 3, 3, 3, 1, 0, 0, 3, 0, 0, 0, 3, 1, 1, 1]",34
103,Bundesliga,2005,Leverkusen,"[3, 0, 0, 1, 3, 3, 0, 1, 0, 1, 1, 3, 1, 0, 0, 1, 1, 3, 0, 3, 0, 3, 3, 1, 0, 0, 3, 3, 3, 3, 3, 3, 1, 1]",34
104,Bundesliga,2005,MGladbach,"[0, 1, 1, 3, 0, 3, 3, 3, 1, 3, 0, 1, 1, 1, 0, 1, 3, 0, 0, 1, 1, 3, 0, 3, 0, 1, 0, 3, 0, 0, 1, 0, 1, 3]",34
105,Bundesliga,2005,Mainz,"[0, 0, 0, 0, 0, 3, 1, 0, 3, 0, 3, 1, 1, 0, 3, 0, 1, 3, 0, 1, 0, 0, 0, 1, 3, 3, 1, 0, 1, 1, 1, 3, 3, 1]",34
106,Bundesliga,2005,Nurnberg,"[0, 1, 0, 0, 1, 1, 0, 3, 0, 0, 0, 0, 3, 0, 3, 1, 1, 3, 1, 0, 0, 3, 0, 3, 3, 3, 1, 3, 0, 3, 0, 3, 1, 3]",34
107,Bundesliga,2005,Schalke 04,"[3, 3, 1, 1, 1, 1, 3, 3, 1, 1, 0, 3, 1, 3, 3, 3, 0, 3, 1, 1, 3, 3, 3, 3, 3, 0, 1, 0, 1, 1, 1, 3, 0, 3]",34
108,Bundesliga,2005,Stuttgart,"[1, 0, 1, 1, 3, 0, 3, 1, 1, 1, 1, 3, 1, 1, 1, 3, 3, 0, 1, 1, 0, 3, 3, 1, 1, 1, 0, 0, 3, 1, 0, 0, 3, 0]",34
109,Bundesliga,2005,Werder Bremen,"[3, 3, 1, 3, 3, 0, 3, 3, 3, 1, 3, 0, 3, 0, 3, 3, 1, 3, 3, 1, 0, 3, 3, 1, 0, 0, 3, 3, 3, 1, 1, 3, 3, 3]",34
110,Bundesliga,2005,Wolfsburg,"[1, 1, 3, 0, 1, 3, 3, 0, 3, 1, 0, 1, 0, 1, 0, 0, 0, 0, 3, 0, 1, 0, 3, 1, 1, 0, 1, 1, 0, 1, 3, 0, 0, 1]",34
111,Bundesliga,2006,Aachen,"[0, 0, 3, 3, 0, 3, 3, 0, 0, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 0, 1, 3, 1, 3, 3, 3, 0, 0, 0, 0, 0, 0, 1, 0]",34
112,Bundesliga,2006,Bayern Munich,"[3, 3, 1, 0, 3, 0, 3, 0, 3, 1, 0, 3, 3, 3, 1, 3, 3, 0, 1, 0, 3, 0, 3, 3, 1, 0, 3, 3, 3, 0, 0, 1, 3, 3]",34
113,Bundesliga,2006,Bielefeld,"[1, 0, 0, 3, 0, 3, 1, 3, 3, 1, 1, 3, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 3, 1, 0, 3, 3, 3, 3, 0]",34
114,Bundesliga,2006,Bochum,"[0, 0, 0, 1, 3, 0, 0, 1, 0, 3, 0, 1, 3, 0, 3, 0, 3, 0, 1, 1, 0, 3, 1, 0, 3, 0, 3, 3, 0, 3, 3, 3, 0, 3]",34
115,Bundesliga,2006,Cottbus,"[0, 1, 3, 3, 1, 0, 0, 3, 3, 1, 0, 1, 0, 0, 0, 0, 1, 3, 1, 1, 0, 0, 3, 3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 0]",34
116,Bundesliga,2006,Dortmund,"[0, 1, 3, 3, 0, 1, 3, 1, 1, 1, 1, 3, 0, 1, 3, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 0, 3, 0, 3, 3, 3, 3, 0]",34
117,Bundesliga,2006,Ein Frankfurt,"[1, 1, 1, 3, 1, 1, 1, 1, 0, 3, 3, 0, 0, 1, 3, 0, 0, 0, 1, 1, 1, 0, 0, 3, 1, 3, 1, 0, 3, 0, 0, 3, 3, 0]",34
118,Bundesliga,2006,Hamburg,"[1, 1, 1, 0, 1, 1, 0, 3, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 3, 3, 3, 3, 1, 1, 3, 0, 3, 1, 3, 0, 3, 3]",34
119,Bundesliga,2006,Hannover,"[0, 0, 0, 3, 1, 1, 1, 0, 1, 0, 3, 0, 3, 3, 3, 1, 0, 0, 3, 3, 1, 3, 3, 0, 1, 1, 0, 0, 0, 3, 3, 3, 0, 0]",34
120,Bundesliga,2006,Hertha,"[1, 3, 1, 3, 1, 1, 0, 3, 0, 3, 1, 1, 3, 3, 0, 0, 3, 3, 0, 3, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 3, 0, 0, 3]",34
