League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3,n1*,c1*,n2*,c2*
La_Liga,2018,Eibar,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",24,12,12,11,5,6,1.3895210785133645,1.5175032530974255,1.2406947890818858,1.0,5.757104735685745,1.0,5.757104735685745
La_Liga,2018,Espanol,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]",27,14,13,14,6,8,1.1971651123675655,1.198819987373033,1.1037527593818983,12.0,1.3760742381167328,12.0,1.3760742381167328
La_Liga,2018,Getafe,"[0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0]",24,12,12,15,7,8,1.3934751313833396,1.5074884257582135,1.2239902080783354,1.0,10.680962401507482,1.0,10.680962401507482
La_Liga,2018,Girona,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",28,14,14,9,5,4,1.945292882465108,2.916583536972889,2.044989775051125,10.0,32.5272365131225,10.0,32.5272365131225
La_Liga,2018,Huesca,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",26,13,13,7,2,5,1.12195069821821,1.1017460004952635,1.0471204188481675,7.0,1.8322281018701596,7.0,1.8322281018701596
La_Liga,2018,Leganes,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",26,13,13,11,5,6,1.398057804285396,1.5283489660964469,1.2820512820512822,2.0,9.639253239660002,2.0,9.639253239660002
La_Liga,2018,Levante,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",27,14,13,11,6,5,1.8100308448907696,2.4499781008658434,1.858736059479554,12.0,4.136315932608724,12.0,4.136315932608724
La_Liga,2018,Real Madrid,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0]",33,17,16,21,11,10,1.7987913931033357,2.233986634888016,1.669449081803005,2.0,37.32892901464429,2.0,37.32892901464429
La_Liga,2018,Sevilla,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1]",30,15,15,17,10,7,3.3451044390048845,7.434295556228816,4.366812227074236,15.0,7.434295556228816,15.0,7.434295556228816
La_Liga,2018,Sociedad,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",27,14,13,13,6,7,1.3258749661237057,1.3966438877911838,1.2165450121654502,1.0,6.132910247183949,1.0,6.132910247183949
