type,league,season,team,sequence,n,c1,c2,c3,n1*,c1*,n2*,c2*,n3*,c3*
soccer_ternary,Bundesliga,2000,Unterhaching,"[0, 1, 0, 1, 0, 3, 0, 0, 1, 3, 1, 1, 3, 3, 0, 0, 3, 1, 0, 0, 0, 3, 3, 0, 0, 1, 1, 1, 1, 0, 3, 1, 0, 0]",34,,,3.3557046979865772,,,,,11,5.2631578947368425
soccer_ternary,Bundesliga,2000,Werder Bremen,"[3, 0, 0, 0, 1, 1, 3, 1, 0, 1, 0, 3, 1, 3, 3, 0, 0, 1, 3, 3, 1, 3, 3, 3, 0, 0, 3, 3, 3, 0, 0, 1, 3, 3, 0]",35,,,1.044932079414838,,,,,6,2.9940119760479043
soccer_ternary,Bundesliga,2000,Wolfsburg,"[0, 3, 0, 3, 0, 1, 1, 3, 3, 1, 1, 1, 1, 0, 3, 3, 0, 3, 1, 0, 3, 1, 0, 0, 3, 1, 3, 1, 0, 3, 1, 0, 3, 0, 0]",35,,,3.7735849056603774,,,,,2,9.803921568627452
soccer_ternary,Bundesliga,2001,Bayern Munich,"[3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 3, 3, 3, 3, 1, 3, 1, 1, 3, 3, 3, 3]",33,,,1.485884101040119,,,,,16,1.455604075691412
soccer_ternary,Bundesliga,2001,Cottbus,"[0, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0, 0]",33,,,1.0660980810234542,,,,,2,3.875968992248062
soccer_ternary,Bundesliga,2001,Dortmund,"[3, 3, 3, 0, 0, 1, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 0, 1, 3, 3, 3, 0, 3, 0, 3, 3, 3]",33,,,2.4691358024691357,,,,,15,3.5211267605633805
soccer_ternary,Bundesliga,2001,FC Koln,"[3, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 3, 0, 3, 3]",33,,,1.440922190201729,,,,,16,1.4005602240896358
soccer_ternary,Bundesliga,2001,Freiburg,"[0, 0, 1, 1, 0, 3, 0, 1, 3, 1, 3, 0, 0, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3]",33,,,2.386634844868735,,,,,13,5.128205128205129
soccer_ternary,Bundesliga,2001,Hamburg,"[3, 1, 0, 0, 1, 0, 1, 3, 3, 0, 0, 1, 0, 3, 0, 1, 3, 0, 3, 1, 3, 0, 3, 3, 0, 1, 1, 1, 0, 1, 3, 0, 0]",33,,,1.6129032258064515,,,,,2,6.5359477124183005
soccer_ternary,Bundesliga,2001,Hansa Rostock,"[0, 3, 0, 0, 1, 1, 0, 1, 0, 3, 3, 0, 0, 1, 0, 3, 3, 0, 0, 3, 0, 3, 0, 1, 0, 3, 0, 1, 0, 3, 0, 0, 1, 0]",34,,,2.5974025974025974,,,,,4,5.181347150259067
soccer_ternary,Bundesliga,2001,Hertha,"[0, 3, 0, 1, 3, 0, 3, 0, 3, 3, 3, 3, 1, 3, 1, 3, 1, 0, 1, 0, 3, 3, 3, 1, 3, 3, 3, 0, 3, 3, 0, 3, 0]",33,,,1.858736059479554,,,,,3,5.0
soccer_ternary,Bundesliga,2001,Kaiserslautern,"[3, 3, 3, 3, 3, 3, 0, 3, 0, 1, 0, 3, 0, 3, 3, 1, 0, 3, 3, 1, 0, 3, 0, 3, 0, 1, 0, 0, 1, 3, 0, 3, 0]",33,,,6.578947368421052,,,,,14,19.23076923076923
soccer_ternary,Bundesliga,2001,Leverkusen,"[3, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 0, 3, 0, 0, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1, 0, 0, 3]",33,,,2.840909090909091,,,,,4,9.00900900900901
soccer_ternary,Bundesliga,2001,MGladbach,"[0, 1, 3, 0, 1, 1, 0, 0, 3, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 3, 0, 3, 1, 3, 0, 3, 3, 3, 1, 0, 1, 1, 0]",33,,,1.075268817204301,,,,,5,4.761904761904762
soccer_ternary,Bundesliga,2001,Munich 1860,"[0, 1, 3, 3, 0, 3, 1, 0, 0, 0, 3, 0, 3, 3, 3, 1, 3, 3, 0, 3, 0, 0, 3, 3, 0, 0, 0, 3, 0, 3, 1, 1, 3]",33,,,2.304147465437788,,,,,9,3.5335689045936394
soccer_ternary,Bundesliga,2001,Nurnberg,"[3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 0, 3, 3, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3]",33,,,1.098901098901099,,,,,10,2.4038461538461537
soccer_ternary,Bundesliga,2001,Schalke 04,"[0, 1, 1, 3, 3, 3, 0, 3, 0, 3, 1, 3, 1, 0, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 1, 3, 0, 3, 0, 0]",34,,,1.1135857461024499,,,,,2,17.54385964912281
soccer_ternary,Bundesliga,2001,St Pauli,"[1, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 3, 0, 1, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0]",33,,,1.160092807424594,,,,,8,16.949152542372882
soccer_ternary,Bundesliga,2001,Stuttgart,"[0, 1, 3, 1, 3, 3, 0, 3, 0, 3, 0, 3, 1, 1, 0, 1, 1, 3, 3, 0, 0, 3, 1, 0, 0, 0, 3, 3, 3, 1, 1, 1, 3]",33,,,1.402524544179523,,,,,14,2.785515320334262
soccer_ternary,Bundesliga,2001,Werder Bremen,"[3, 1, 0, 0, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 3, 0, 0, 0, 3, 1, 0, 0, 3, 0, 0, 3, 1, 3, 3, 3, 0]",33,,,23.25581395348837,,,,,16,22.22222222222222
soccer_ternary,Bundesliga,2001,Wolfsburg,"[1, 0, 1, 1, 0, 0, 3, 3, 0, 0, 3, 0, 3, 3, 1, 3, 3, 0, 1, 1, 3, 0, 0, 0, 3, 1, 3, 0, 0, 3, 3, 0, 3]",33,,,2.34192037470726,,,,,16,2.347417840375587
soccer_ternary,Bundesliga,2002,Bayern Munich,"[1, 3, 3, 3, 3, 3, 0, 3, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 1, 0, 0, 3, 3, 3, 3, 0]",31,,,4.219409282700422,,,,,8,10.309278350515465
soccer_ternary,Bundesliga,2002,Bielefeld,"[3, 0, 3, 1, 0, 0, 3, 0, 1, 3, 0, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 1, 3, 1, 0, 3, 1, 1, 0, 0, 0, 0]",32,,,5.269814502529511,,,,,4,49.67709885742673
soccer_ternary,Bundesliga,2002,Bochum,"[3, 3, 3, 1, 0, 1, 0, 0, 3, 3, 0, 3, 0, 1, 0, 1, 1, 3, 0, 3, 1, 0, 0, 0, 0, 1, 0, 3, 3, 1, 3, 1, 3]",33,,,1.721170395869191,,,,,13,2.793296089385475
soccer_ternary,Bundesliga,2002,Cottbus,"[1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 3, 3, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 3, 1]",33,,,1.0672358591248665,,,,,12,3.952569169960474
soccer_ternary,Bundesliga,2002,Dortmund,"[1, 1, 3, 1, 1, 3, 3, 3, 1, 3, 1, 0, 3, 0, 3, 3, 3, 0, 3, 1, 3, 0, 3, 1, 0, 1, 3, 1, 1, 3, 1, 1]",32,,,3.4482758620689653,,,,,11,7.407407407407407
soccer_ternary,Bundesliga,2002,Hamburg,"[3, 0, 0, 0, 3, 0, 3, 0, 3, 0, 1, 3, 3, 1, 3, 1, 1, 1, 3, 0, 3, 1, 3, 0, 3, 1, 1, 3, 1, 3, 1, 3]",32,,,1.3262599469496021,,,,,9,1.4771048744460857
soccer_ternary,Bundesliga,2002,Hannover,"[0, 0, 0, 0, 3, 1, 3, 0, 1, 1, 3, 3, 0, 0, 0, 0, 1, 1, 3, 3, 3, 3, 0, 3, 1, 0, 3, 0, 0, 3, 1, 3]",32,,,1.0341261633919339,,,,,8,1.6474464579901154
soccer_ternary,Bundesliga,2002,Hansa Rostock,"[3, 3, 3, 0, 3, 0, 0, 1, 0, 0, 1, 0, 1, 1, 3, 0, 1, 0, 3, 1, 1, 0, 0, 3, 0, 3, 0, 0, 1, 3, 0, 3, 0]",33,,,2.028397565922921,,,,,14,2.3640661938534278
soccer_ternary,Bundesliga,2002,Hertha,"[1, 1, 1, 0, 3, 3, 0, 3, 3, 1, 0, 3, 3, 0, 0, 1, 0, 3, 0, 3, 1, 0, 3, 3, 3, 0, 3, 3, 3, 0, 0, 0, 3]",33,,,1.2004801920768307,,,,,4,6.8493150684931505
soccer_ternary,Bundesliga,2002,Kaiserslautern,"[1, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 0, 3, 0, 1, 3, 3, 1, 3, 3, 3, 1, 3, 0, 3, 0, 1, 1, 0]",33,,,1.0256410256410255,,,,,4,5.4945054945054945
soccer_ternary,Bundesliga,2002,Leverkusen,"[1, 1, 0, 3, 0, 0, 3, 0, 3, 1, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 3, 0, 1, 0, 3, 0, 0, 1, 3, 0, 3, 3]",32,,,2.4271844660194173,,,,,16,2.5641025641025643
soccer_ternary,Bundesliga,2002,MGladbach,"[1, 0, 3, 3, 1, 0, 0, 3, 0, 0, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 1, 3, 0, 3, 0, 3, 1, 1, 1, 3, 1, 3]",32,,,1.6474464579901154,,,,,16,1.6025641025641026
soccer_ternary,Bundesliga,2002,Munich 1860,"[0, 3, 3, 0, 1, 1, 3, 0, 3, 3, 3, 0, 0, 1, 3, 0, 1, 3, 0, 1, 1, 0, 0, 1, 3, 0, 1, 1, 3, 3, 0, 0]",32,,,4.237288135593221,,,,,2,7.633587786259542
soccer_ternary,Bundesliga,2002,Nurnberg,"[0, 0, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 0, 1, 0, 1, 3, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0]",32,,,7.751937984496124,,,,,15,28.571428571428573
soccer_ternary,Bundesliga,2002,Schalke 04,"[3, 3, 1, 1, 1, 3, 0, 3, 0, 1, 3, 0, 3, 1, 3, 1, 1, 3, 1, 0, 1, 1, 1, 0, 1, 1, 3, 3, 0, 0, 0, 0, 3]",33,,,7.352941176470588,,,,,15,15.873015873015873
soccer_ternary,Bundesliga,2002,Stuttgart,"[1, 1, 0, 1, 1, 3, 0, 3, 3, 1, 3, 3, 1, 3, 0, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 0, 1, 3, 0, 0, 3]",32,,,1.1350737797956867,,,,,6,7.092198581560283
soccer_ternary,Bundesliga,2002,Werder Bremen,"[0, 3, 0, 3, 3, 3, 3, 1, 1, 0, 3, 0, 3, 3, 3, 1, 3, 1, 0, 0, 0, 3, 0, 0, 3, 3, 0, 0, 3, 3, 3, 0]",32,,,5.555555555555555,,,,,15,10.638297872340425
soccer_ternary,Bundesliga,2002,Wolfsburg,"[0, 3, 0, 3, 1, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 0, 0, 1, 1, 3, 1, 3, 0, 3, 3, 0, 1, 1, 3, 0]",31,,,2.1691973969631237,,,,,5,3.3783783783783785
soccer_ternary,Bundesliga,2003,Bayern Munich,"[3, 1, 3, 3, 1, 3, 0, 1, 3, 3, 1, 3, 0, 3, 1, 1, 3, 3, 3, 0, 3]",21,,,1.7825311942959001,,,,,2,3.115264797507788
soccer_ternary,Bundesliga,2003,Bochum,"[0, 1, 1, 3, 3, 3, 0, 0, 3, 1, 3, 1, 3, 1, 3, 1, 0, 0, 3, 3, 1]",21,,,1.8656716417910448,,,,,6,2.881844380403458
soccer_ternary,Bundesliga,2003,Dortmund,"[1, 3, 0, 3, 3, 3, 0, 0, 1, 0, 3, 0, 0, 1, 3, 1, 3, 3, 3, 0, 3]",21,,,1.524390243902439,,,,,2,1.694915254237288
soccer_ternary,Bundesliga,2003,Ein Frankfurt,"[0, 0, 1, 0, 0, 3, 1, 0, 0, 1, 3, 1, 3, 0, 3, 0, 0, 0, 0, 0, 3]",21,,,1.4534883720930232,,,,,6,4.587155963302752
soccer_ternary,Bundesliga,2003,FC Koln,"[0, 0, 0, 0, 1, 3, 0, 0, 1, 1, 3, 3, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0]",23,,,7.751937984496124,,,,,11,7.299270072992701
soccer_ternary,Bundesliga,2003,Freiburg,"[0, 1, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 0, 1, 1, 3, 1, 0, 0, 0]",23,,,2.6737967914438503,,,,,3,6.802721088435374
soccer_ternary,Bundesliga,2003,Hamburg,"[0, 1, 3, 1, 3, 0, 1, 1, 3, 3, 0, 1, 3, 0, 3, 0, 3, 0, 0, 3, 3]",21,,,1.5873015873015872,,,,,6,1.8867924528301887
soccer_ternary,Bundesliga,2003,Hannover,"[3, 1, 3, 0, 0, 0, 1, 3, 1, 0, 1, 3, 0, 0, 0, 0, 1, 1, 3, 3, 1, 0]",22,,,1.9723865877712032,,,,,10,4.032258064516129
soccer_ternary,Bundesliga,2003,Hansa Rostock,"[0, 1, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 3, 1, 3, 1, 0, 3, 1, 0, 0, 3, 0]",23,,,1.0204081632653061,,,,,4,2.0533880903490758
soccer_ternary,Bundesliga,2003,Hertha,"[0, 1, 0, 0, 3, 1, 0, 0, 3, 3, 3, 1, 0, 1, 0, 1, 3, 1, 3]",19,,,1.3297872340425532,,,,,8,1.9083969465648856
soccer_ternary,Bundesliga,2003,Kaiserslautern,"[0, 3, 3, 3, 0, 3, 0, 0, 0, 1, 0, 3, 0, 3, 3, 1, 0, 0, 0, 3, 0]",21,,,1.4970059880239521,,,,,6,5.291005291005291
soccer_ternary,Bundesliga,2003,Leverkusen,"[3, 3, 3, 3, 3, 1, 0, 3, 0, 0, 0, 0, 3, 3, 3, 1, 3, 3, 3, 3]",20,,,1.25,,,,,10,1.2610340479192939
soccer_ternary,Bundesliga,2003,MGladbach,"[3, 0, 1, 0, 1, 0, 1, 0, 3, 3, 0, 0, 0, 3, 0, 3, 0, 1, 3, 1, 0, 3]",22,,,1.4326647564469914,,,,,11,1.4492753623188406
soccer_ternary,Bundesliga,2003,Munich 1860,"[3, 1, 0, 0, 0, 3, 1, 3, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 0, 0, 0, 0, 0]",23,,,4.524886877828054,,,,,5,43.47826086956522
soccer_ternary,Bundesliga,2003,Schalke 04,"[1, 1, 0, 1, 3, 0, 1, 3, 3, 3, 1, 3, 1, 3, 1, 3, 0, 1, 3, 3, 0, 0, 0, 1]",24,,,3.2003072294940313,,,,,4,54.614964500273075
soccer_ternary,Bundesliga,2003,Stuttgart,"[3, 3, 3, 1, 3, 3, 3, 1, 0, 0, 3, 0, 1, 3, 3, 1, 1, 3, 3, 3, 3, 0]",22,,,2.074688796680498,,,,,1,5.0
soccer_ternary,Bundesliga,2003,Werder Bremen,"[3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1]",20,,,3.202151846040539,,,,,5,74.23904974016332
soccer_ternary,Bundesliga,2003,Wolfsburg,"[3, 0, 3, 0, 0, 3, 0, 3, 3, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 1]",21,,,3.1545741324921135,,,,,8,3.802281368821293
soccer_ternary,Bundesliga,2004,Bayern Munich,"[3, 1, 0, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 1, 1, 3, 1, 3, 0, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3]",34,,,1.0810810810810811,,,,,16,1.1286681715575622
soccer_ternary,Bundesliga,2004,Bielefeld,"[1, 0, 0, 1, 3, 3, 0, 3, 3, 0, 0, 3, 3, 3, 0, 1, 0, 0, 0, 1, 3, 1, 3, 0, 0, 0, 3, 0, 1, 3, 0, 0, 1, 0]",34,,,5.0,,,,,11,9.174311926605505
soccer_ternary,Bundesliga,2004,Bochum,"[1, 1, 3, 1, 1, 0, 0, 0, 0, 3, 0, 1, 0, 0, 3, 0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 3, 1, 3, 3, 0, 0, 0, 3, 3]",34,,,1.1723329425556859,,,,,5,1.440922190201729
soccer_ternary,Bundesliga,2004,Dortmund,"[0, 3, 1, 1, 1, 1, 1, 0, 0, 3, 3, 0, 0, 3, 0, 0, 1, 3, 1, 3, 3, 0, 3, 1, 0, 3, 3, 3, 1, 3, 1, 3, 3, 3]",34,,,1.0060362173038229,,,,,13,1.0471204188481675
soccer_ternary,Bundesliga,2004,Freiburg,"[1, 3, 1, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",34,,,3.236245954692557,,,,,13,27.77777777777778
soccer_ternary,Bundesliga,2004,Hamburg,"[0, 0, 3, 0, 0, 3, 0, 0, 3, 3, 1, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 0, 3, 3, 0, 1, 0, 3, 3, 0, 1, 0, 0]",34,,,1.6556291390728477,,,,,4,20.0
soccer_ternary,Bundesliga,2004,Hannover,"[0, 1, 1, 0, 3, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 3, 0, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 3, 1]",34,,,8.547008547008547,,,,,15,11.11111111111111
soccer_ternary,Bundesliga,2004,Hansa Rostock,"[1, 0, 3, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 0]",34,,,1.092896174863388,,,,,3,2.6595744680851063
soccer_ternary,Bundesliga,2004,Hertha,"[1, 1, 1, 1, 1, 0, 3, 3, 0, 0, 3, 1, 3, 1, 3, 3, 3, 1, 1, 3, 3, 0, 3, 1, 1, 3, 0, 3, 3, 3, 0, 3, 1, 1]",34,,,1.4992503748125936,,,,,2,3.3112582781456954
soccer_ternary,Bundesliga,2004,Kaiserslautern,"[0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 3, 1, 3, 0, 3, 3, 1, 3, 3, 1, 3, 0, 1, 1, 3, 0, 0, 3, 0, 0, 0, 3, 0, 0]",34,,,1.8832391713747645,,,,,6,12.820512820512821
soccer_ternary,Bundesliga,2004,Leverkusen,"[3, 1, 3, 0, 1, 0, 3, 0, 1, 3, 0, 3, 1, 0, 3, 3, 1, 3, 3, 0, 3, 3, 1, 0, 1, 3, 0, 0, 3, 3, 1, 3, 1, 3]",34,,,1.2468827930174564,,,,,12,2.4390243902439024
soccer_ternary,Bundesliga,2004,MGladbach,"[1, 0, 1, 3, 0, 1, 0, 3, 0, 0, 3, 1, 3, 0, 0, 0, 1, 3, 1, 3, 0, 0, 1, 3, 0, 0, 1, 0, 1, 1, 3, 1, 1, 0]",34,,,1.4771048744460857,,,,,14,4.166666666666667
soccer_ternary,Bundesliga,2004,Mainz,"[0, 3, 1, 3, 1, 1, 3, 3, 0, 3, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 3, 0, 3, 3]",34,,,1.937984496124031,,,,,17,2.044989775051125
soccer_ternary,Bundesliga,2004,Nurnberg,"[3, 1, 0, 1, 1, 0, 1, 3, 0, 0, 3, 3, 0, 1, 0, 1, 3, 0, 3, 0, 0, 0, 0, 1, 3, 0, 0, 3, 3, 1, 0, 3, 0, 0]",34,,,2.7624309392265194,,,,,2,5.181347150259067
soccer_ternary,Bundesliga,2004,Schalke 04,"[0, 3, 0, 0, 3, 0, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 1, 3, 0, 1, 3, 3, 3, 3, 3, 0, 3, 0, 0, 0, 1, 3, 0, 3]",34,,,3.048780487804878,,,,,9,19.23076923076923
soccer_ternary,Bundesliga,2004,Stuttgart,"[3, 1, 3, 3, 1, 3, 3, 3, 0, 0, 0, 3, 0, 3, 1, 3, 1, 3, 0, 1, 0, 3, 1, 3, 3, 3, 3, 3, 0, 1, 0, 3, 0, 0]",34,,,2.73972602739726,,,,,6,31.25
soccer_ternary,Bundesliga,2004,Werder Bremen,"[3, 3, 0, 0, 3, 3, 0, 0, 3, 3, 1, 1, 1, 0, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 1, 3, 0, 3, 0, 0, 3, 0, 3, 3]",34,,,1.524390243902439,,,,,11,3.9682539682539684
soccer_ternary,Bundesliga,2004,Wolfsburg,"[3, 0, 3, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 3, 1, 0, 3, 0, 0, 3, 0, 1, 3, 0, 1, 3]",34,,,10.638297872340425,,,,,17,11.363636363636363
soccer_ternary,Bundesliga,2005,Bayern Munich,"[3, 3, 3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 1, 3, 0, 1, 3, 3, 1, 0, 3, 1, 3, 1, 1]",34,,,32.69042170644001,,,,,15,112.35955056179775
soccer_ternary,Bundesliga,2005,Bielefeld,"[0, 0, 3, 1, 1, 0, 0, 1, 3, 3, 3, 0, 0, 1, 0, 1, 3, 0, 0, 1, 3, 0, 3, 0, 3, 0, 1, 3, 3, 0, 0, 0, 0, 0]",34,,,2.5315814789499,,,,,5,44.563279857397504
soccer_ternary,Bundesliga,2005,Dortmund,"[1, 0, 1, 3, 0, 3, 1, 1, 1, 1, 3, 0, 3, 3, 0, 0, 0, 3, 1, 3, 1, 0, 0, 1, 1, 3, 3, 0, 0, 1, 3, 3, 1, 1]",34,,,1.3793103448275863,,,,,2,2.237136465324385
soccer_ternary,Bundesliga,2005,Duisburg,"[1, 0, 1, 0, 0, 0, 3, 1, 0, 0, 3, 0, 0, 0, 1, 1, 1, 3, 1, 0, 1, 0, 3, 0, 1, 0, 0, 1, 1, 0, 0, 0, 3, 1]",34,,,1.3477088948787062,,,,,11,2.857142857142857
