League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3
La_Liga,2011,Zaragoza,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",31,16,15,12,3,9,1.027356563510801,1.0093132652249448,1.002004008016032
La_Liga,2012,Ath Bilbao,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]",29,15,14,12,6,6,1.5298926367629486,1.7792767844805109,1.447178002894356
La_Liga,2012,Ath Madrid,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]",31,16,15,23,13,10,2.9375884884888412,5.653627646715647,3.4246575342465753
La_Liga,2012,Barcelona,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",34,17,17,32,17,15,3.7860363457625343,13.801405160360831,4.291845493562231
La_Liga,2012,Betis,"[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]",30,15,15,16,9,7,2.523078708371905,4.308354880446086,2.9411764705882355
La_Liga,2012,Celta,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",31,16,15,10,5,5,1.5322923892827864,1.8203532234702633,1.375515818431912
La_Liga,2012,Espanol,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",27,14,13,11,5,6,1.3265380337551171,1.4096476408931427,1.2091898428053205
La_Liga,2012,Getafe,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",30,15,15,13,7,6,1.981164112156975,2.8068338874262353,1.9230769230769231
La_Liga,2012,Granada,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",29,15,14,11,5,6,1.3381468479420802,1.4258931511871338,1.2315270935960592
La_Liga,2012,La Coruna,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",27,14,13,8,3,5,1.1874522040770383,1.1996231660868324,1.0940919037199124
La_Liga,2012,Levante,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",28,14,14,12,8,4,4.740539320074002,15.79398852705195,8.029548739360848
La_Liga,2012,Malaga,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",29,15,14,16,9,7,2.228929924585753,3.398822208316722,2.314814814814815
La_Liga,2012,Mallorca,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",29,15,14,9,4,5,1.3267542937818892,1.4272484050108833,1.2004801920768307
