,League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3
89,Bundesliga,2004,Wolfsburg,"[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",31,16,15,15,9,6,2.862765580742819,5.47058459211256,3.0211480362537766
90,Bundesliga,2005,Bayern Munich,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",25,13,12,22,12,10,2.3179676404647673,4.079306397635297,2.2522522522522523
91,Bundesliga,2005,Bielefeld,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",27,14,13,10,5,5,1.5148471428733075,1.7898317226824547,1.4367816091954022
92,Bundesliga,2005,Dortmund,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1]",21,11,10,11,5,6,1.271809969845994,1.337842294670583,1.1682242990654206
93,Bundesliga,2005,Duisburg,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",22,11,11,5,2,3,1.2924968664422045,1.4398117926016154,1.2048192771084338
94,Bundesliga,2005,Ein Frankfurt,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",25,13,12,9,6,3,3.123826759304197,7.381478532763724,4.048582995951417
95,Bundesliga,2005,FC Koln,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1]",25,13,12,7,3,4,1.2910484283133583,1.3969029727520257,1.1627906976744187
96,Bundesliga,2005,Hamburg,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0]",29,15,14,21,12,9,2.960677196808087,5.812522545340308,3.0120481927710845
97,Bundesliga,2005,Hannover,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",17,9,8,7,5,2,3.4329514965551176,9.932847280100495,4.761904761904762
98,Bundesliga,2005,Hertha,"[1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0]",22,11,11,12,7,5,2.641091910859272,5.104581978565195,3.067484662576687
99,Bundesliga,2005,Kaiserslautern,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]",25,13,12,8,2,6,1.0570945176071416,1.032944012405063,1.0070493454179255
100,Bundesliga,2005,Leverkusen,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",24,12,12,14,5,9,1.0719642326915546,1.0513533321374784,1.016260162601626
101,Bundesliga,2005,MGladbach,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",22,11,11,10,6,4,2.595532227374539,5.104581978565192,3.4246575342465753
102,Bundesliga,2005,Mainz,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",23,12,11,9,4,5,1.294771086918406,1.3810708078069203,1.187648456057007
103,Bundesliga,2005,Nurnberg,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1]",26,13,13,12,4,8,1.0893016695204993,1.061335592111114,1.02880658436214
104,Bundesliga,2005,Schalke 04,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1]",21,11,10,16,9,7,2.280991489170337,3.806679779244293,2.2573363431151243
105,Bundesliga,2005,Stuttgart,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]",18,9,9,9,5,4,2.0,3.137983956620695,2.0120724346076457
