,League,Season,Team,Sequence,n,n1,n2,k,k1,k2,Team_Name,c2,c3
31,Bundesliga,2001,Schalke 04,"[0, 1, 1, 3, 3, 3, 0, 3, 0, 3, 1, 3, 1, 0, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 1, 3, 0, 3, 0, 0]",34,17,17,61,26,35,2001 Schalke 04,1.0358043028969162,1.1148272017837235
32,Bundesliga,2001,St Pauli,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 3, 0, 1, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0]",34,17,17,22,8,14,2001 St Pauli,1.0802749374004987,1.1235955056179776
33,Bundesliga,2001,Stuttgart,"[1, 0, 1, 3, 1, 3, 3, 0, 3, 0, 3, 0, 3, 1, 1, 0, 1, 1, 3, 3, 0, 0, 3, 1, 0, 0, 0, 3, 3, 3, 1, 1, 1, 3]",34,17,17,50,24,26,2001 Stuttgart,1.5290581956307034,1.492537313432836
34,Bundesliga,2001,Werder Bremen,"[0, 3, 1, 0, 0, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 3, 0, 0, 0, 3, 1, 0, 0, 3, 0, 0, 3, 1, 3, 3, 3, 0]",34,17,17,56,33,23,2001 Werder Bremen,42.91475289897488,8.264462809917354
35,Bundesliga,2001,Wolfsburg,"[0, 1, 0, 1, 1, 0, 0, 3, 3, 0, 0, 3, 0, 3, 3, 1, 3, 3, 0, 1, 1, 3, 0, 0, 0, 3, 1, 3, 0, 0, 3, 3, 0, 3]",34,17,17,46,22,24,2001 Wolfsburg,1.5274727757587974,1.6207455429497568
36,Bundesliga,2002,Bayern Munich,"[1, 3, 3, 3, 3, 3, 0, 3, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 1, 0, 0, 3, 3, 3, 3, 0]",31,16,15,68,38,30,2002 Bayern Munich,11.480292059828544,4.587155963302752
37,Bundesliga,2002,Bielefeld,"[3, 0, 3, 1, 0, 0, 3, 0, 1, 3, 0, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 1, 3, 1, 0, 3, 1, 1, 0, 0, 0, 0]",32,16,16,35,21,14,2002 Bielefeld,14.522478185839988,5.405405405405405
38,Bundesliga,2002,Bochum,"[3, 3, 3, 1, 0, 1, 0, 0, 3, 3, 0, 3, 0, 1, 0, 1, 1, 3, 0, 3, 1, 0, 0, 0, 0, 1, 0, 3, 3, 1, 3, 1, 3]",33,17,16,45,23,22,2002 Bochum,1.8894000126659611,1.7543859649122806
39,Bundesliga,2002,Cottbus,"[1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 3, 3, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 3, 1]",33,17,16,27,10,17,2002 Cottbus,1.0403355063280313,1.0857763300760044
40,Bundesliga,2002,Dortmund,"[1, 1, 3, 1, 1, 3, 3, 3, 1, 3, 1, 0, 3, 0, 3, 3, 3, 0, 3, 1, 3, 0, 3, 1, 0, 1, 3, 1, 1, 3, 1, 1]",32,16,16,55,30,25,2002 Dortmund,6.617342166921011,3.663003663003663
41,Bundesliga,2002,Hamburg,"[3, 0, 0, 0, 3, 0, 3, 0, 3, 0, 1, 3, 3, 1, 3, 1, 1, 1, 3, 0, 3, 1, 3, 0, 3, 1, 1, 3, 1, 3, 1, 3]",32,16,16,52,24,28,2002 Hamburg,1.2599129597138865,1.3192612137203166
42,Bundesliga,2002,Hannover,"[0, 0, 0, 0, 3, 1, 3, 0, 1, 1, 3, 3, 0, 0, 0, 0, 1, 1, 3, 3, 3, 3, 0, 3, 1, 0, 3, 0, 0, 3, 1, 3]",32,16,16,43,15,28,2002 Hannover,1.0038283498461904,1.0309278350515463
43,Bundesliga,2002,Hansa Rostock,"[3, 3, 3, 0, 3, 0, 0, 1, 0, 0, 1, 0, 1, 1, 3, 0, 1, 0, 3, 1, 1, 0, 0, 3, 0, 3, 0, 0, 1, 3, 0, 3, 0]",33,17,16,38,20,18,2002 Hansa Rostock,2.3235777728554865,1.9920318725099602
44,Bundesliga,2002,Hertha,"[1, 1, 1, 0, 3, 3, 0, 3, 3, 1, 0, 3, 3, 0, 0, 1, 0, 3, 0, 3, 1, 0, 3, 3, 3, 0, 3, 3, 3, 0, 0, 0, 3]",33,17,16,51,23,28,2002 Hertha,1.103675877681028,1.2594458438287153
45,Bundesliga,2002,Kaiserslautern,"[1, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 0, 3, 0, 1, 3, 3, 1, 3, 3, 3, 1, 3, 0, 3, 0, 1, 1, 0]",33,17,16,39,13,26,2002 Kaiserslautern,1.0017624060409616,1.0204081632653061
46,Bundesliga,2002,Leverkusen,"[1, 1, 0, 3, 0, 0, 3, 0, 3, 1, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 3, 0, 1, 0, 3, 0, 0, 1, 3, 0, 3, 3]",32,16,16,37,20,17,2002 Leverkusen,3.7787624812839113,2.386634844868735
47,Bundesliga,2002,MGladbach,"[1, 0, 3, 3, 1, 0, 0, 3, 0, 0, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 1, 3, 0, 3, 0, 3, 1, 1, 1, 3, 1, 3]",32,16,16,39,19,20,2002 MGladbach,1.717294707602567,1.6891891891891893
48,Bundesliga,2002,Munich 1860,"[0, 3, 3, 0, 1, 1, 3, 0, 3, 3, 3, 0, 0, 1, 3, 0, 1, 3, 0, 1, 1, 0, 0, 1, 3, 0, 1, 1, 3, 3, 0, 0]",32,16,16,42,24,18,2002 Munich 1860,9.214725355201908,4.291845493562231
49,Bundesliga,2002,Nurnberg,"[0, 0, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 0, 1, 0, 1, 3, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0]",32,16,16,27,18,9,2002 Nurnberg,48.72001965303338,8.0
50,Bundesliga,2002,Schalke 04,"[3, 3, 1, 1, 1, 3, 0, 3, 0, 1, 3, 0, 3, 1, 3, 1, 1, 3, 1, 0, 1, 1, 1, 0, 1, 1, 3, 3, 0, 0, 0, 0, 3]",33,17,16,46,28,18,2002 Schalke 04,24.17293684532514,7.575757575757576
51,Bundesliga,2002,Stuttgart,"[1, 1, 0, 1, 1, 3, 0, 3, 3, 1, 3, 3, 1, 3, 0, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 0, 1, 3, 0, 0, 3]",32,16,16,56,24,32,2002 Stuttgart,1.0513533321374784,1.1402508551881414
52,Bundesliga,2002,Werder Bremen,"[0, 3, 0, 3, 3, 3, 3, 1, 1, 0, 3, 0, 3, 3, 3, 1, 3, 1, 0, 0, 0, 3, 0, 0, 3, 3, 0, 0, 3, 3, 3, 0]",32,16,16,52,30,22,2002 Werder Bremen,19.74777809348758,5.649717514124294
53,Bundesliga,2002,Wolfsburg,"[0, 3, 0, 3, 1, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 0, 0, 1, 1, 3, 1, 3, 0, 3, 3, 0, 1, 1, 3, 0]",31,16,15,43,23,20,2002 Wolfsburg,2.71314349582729,2.1321961620469083
54,Bundesliga,2003,Bayern Munich,"[3, 1, 3, 3, 1, 3, 0, 1, 3, 3, 1, 3, 0, 3, 1, 1, 3, 3, 3, 0, 3]",21,11,10,42,22,20,2003 Bayern Munich,2.0,1.7667844522968197
55,Bundesliga,2003,Bochum,"[0, 1, 1, 3, 3, 3, 0, 0, 3, 1, 3, 1, 3, 1, 3, 1, 0, 0, 3, 3, 1]",21,11,10,34,18,16,2003 Bochum,2.1663786545957593,1.7605633802816902
56,Bundesliga,2003,Dortmund,"[1, 3, 0, 3, 3, 3, 0, 0, 1, 0, 3, 0, 0, 1, 3, 1, 3, 3, 3, 0, 3]",21,11,10,34,17,17,2003 Dortmund,1.517465964447071,1.545595054095827
