,League,Season,Team,Sequence,c1,c2,c3
42,D1,2002,Hannover,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1]",1.000149609722819,12.74478760494327,1.0111223458038423
43,D1,2002,Hansa Rostock,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1.0000167774974797,1.1404610508219608,1.4245014245014245
44,D1,2002,Hertha,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1]",1.000480469748762,1.7728555629700244,1.2004801920768307
45,D1,2002,Kaiserslautern,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0]",1.0000273827455919,84.87941156649572,1.001001001001001
46,D1,2002,Leverkusen,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",1.0000167774974797,1.1404610508219608,1.3736263736263736
47,D1,2002,MGladbach,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",1.0001049637617005,1.1589763905281354,1.3908205841446453
48,D1,2002,Munich 1860,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1.000299532124069,3.19045476180617,3.484320557491289
49,D1,2002,Nurnberg,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1.0000000390499972,4.990463982959892,5.405405405405405
50,D1,2002,Schalke 04,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",1.0025393837573966,5.089899949782234,5.9171597633136095
51,D1,2002,Stuttgart,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",1.0077672112184624,1.0,1.5060240963855422
52,D1,2002,Werder Bremen,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0]",1.0003959489930363,7.3328023637186455,10.0
53,D1,2002,Wolfsburg,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0]",1.0002442002442002,1.0,1.5625
54,D1,2003,Bayern Munich,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]",1.2653666121378015,2.0576597829815624,2.1739130434782608
55,D1,2003,Bochum,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]",1.0475299967350864,1.6364184858288695,1.148105625717566
56,D1,2003,Dortmund,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]",1.0145438522021881,1.2689664087461228,1.2755102040816326
57,D1,2003,Ein Frankfurt,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",1.0000560006391503,1.376922749089975,1.7857142857142858
58,D1,2003,FC Koln,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1.000000812377462,3.0103072551635788,3.0959752321981426
59,D1,2003,Freiburg,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",1.0000312314687252,1.1305126953518096,1.3550135501355014
60,D1,2003,Hamburg,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",1.0101240651702437,1.557664487414707,1.937984496124031
